Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Learning_Style
1,2,1,2,2,2,2,2,1,2,2,1,1,1,2,Visual
3,2,2,3,3,3,3,3,2,3,3,3,3,3,1,Auditory
1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,Visual
4,4,2,4,4,4,4,4,4,4,4,1,4,1,4,Kinesthetic
1,1,2,2,3,2,3,3,1,2,2,2,2,1,1,Kinesthetic
2,3,3,3,3,3,1,3,3,3,3,3,3,4,2,Auditory
1,4,1,1,1,1,1,2,1,1,1,1,1,1,1,reading
4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,Kinesthetic
1,4,2,2,1,2,2,3,1,2,4,2,2,1,2,Kinesthetic
3,3,3,3,3,3,2,3,1,3,3,3,3,3,3,Auditory
1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,reading
4,4,3,4,3,4,4,4,4,1,4,4,4,1,4,Kinesthetic
1,2,2,4,2,2,2,2,1,2,2,2,2,1,2,Visual
1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,Auditory
1,3,1,3,1,1,1,1,2,1,1,1,4,1,1,reading
4,4,2,4,4,2,4,3,4,4,2,4,4,4,4,Kinesthetic
1,2,2,2,2,2,2,2,1,2,2,2,4,2,2,Visual
3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,Auditory
1,1,3,1,1,1,1,1,1,1,1,1,1,4,1,reading
3,4,2,4,4,2,4,4,4,1,4,4,4,4,4,Kinesthetic
1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,Visual
3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,Auditory
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,reading
4,4,4,4,4,4,4,4,4,4,4,2,4,3,4,Kinesthetic
1,1,2,2,3,2,2,2,1,2,2,2,2,1,2,Visual
3,3,3,3,3,4,3,3,2,3,3,1,3,3,3,Visual
1,1,1,1,1,1,1,1,1,4,4,4,1,1,3,reading
4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,Kinesthetic
1,2,2,2,2,1,2,2,1,2,2,2,2,1,3,Kinesthetic
3,1,3,3,3,3,3,3,2,3,2,2,3,3,3,Auditory
1,1,1,1,2,4,1,1,1,1,2,2,1,1,1,reading
4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,Kinesthetic
1,2,3,2,2,2,4,2,1,2,4,2,2,3,2,Visual
3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,Auditory
1,1,3,1,1,1,4,1,1,1,1,1,1,1,1,reading
4,4,4,4,4,4,4,4,4,4,4,1,2,4,4,Kinesthetic
4,2,2,2,2,2,2,2,1,3,4,4,2,1,2,reading
3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,Visual
1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,reading
4,4,4,4,4,4,4,4,4,1,4,1,2,4,4,Kinesthetic
1,1,4,2,2,2,2,2,1,2,2,2,2,1,2,Visual
3,3,3,2,3,3,3,2,3,3,3,2,3,3,3,Auditory
4,1,1,1,2,1,1,3,1,3,1,1,1,1,1,Auditory
1,4,4,4,4,4,4,2,4,3,4,4,1,4,3,Kinesthetic
1,2,2,2,2,2,2,2,3,2,2,2,4,1,1,Visual
3,3,3,2,3,3,3,4,3,3,3,3,3,2,3,Visual
1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,reading
4,4,4,4,4,4,3,4,4,4,2,4,1,4,2,Kinesthetic
3,2,4,2,2,2,3,2,1,2,4,2,2,1,2,Auditory
3,3,3,3,3,3,2,2,3,3,3,3,3,3,4,reading
1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,reading
4,3,2,4,4,4,4,4,4,4,4,4,4,3,4,Kinesthetic
2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,Visual
3,3,4,1,3,3,2,3,3,3,3,3,3,3,2,Auditory
1,1,1,1,1,1,1,1,1,1,2,1,4,1,4,reading
4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,Kinesthetic
1,2,2,2,2,2,2,1,1,2,2,2,2,1,1,Visual
3,3,3,3,3,3,3,4,3,3,3,3,3,2,3,Auditory
1,1,1,1,2,1,1,1,1,1,4,1,1,1,1,reading
1,4,4,4,4,4,4,2,4,3,4,4,4,4,4,Kinesthetic
1,2,2,2,2,2,2,2,1,2,2,4,4,1,2,Visual
3,2,3,2,3,3,3,3,3,3,2,3,3,3,4,reading
2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,reading
4,4,3,4,1,4,4,4,4,4,4,4,4,4,4,Kinesthetic
1,2,2,2,2,2,2,2,1,2,2,1,4,1,2,Visual
3,3,2,1,3,2,3,3,3,3,3,3,3,3,3,Auditory
1,1,1,1,1,1,2,3,1,1,1,1,3,4,1,reading
4,1,4,2,4,4,1,4,2,4,4,4,4,4,4,Kinesthetic
1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,Visual
4,3,4,3,3,3,4,3,3,3,3,3,3,3,3,Auditory
1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,reading
1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,Kinesthetic
1,2,3,2,4,2,2,2,1,2,4,2,2,1,2,Visual
3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,Auditory
1,3,1,4,1,1,3,1,1,1,1,1,1,1,4,reading
1,4,4,4,2,4,4,4,1,4,1,4,4,4,4,Visual
1,2,2,2,4,2,2,2,2,2,4,2,2,1,2,Visual
3,1,3,3,1,2,1,1,3,3,3,3,3,3,3,Auditory
1,1,1,1,1,1,3,1,1,1,1,4,1,3,1,reading
4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,Kinesthetic
1,2,2,1,2,2,2,2,3,2,3,2,2,1,2,Visual
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Visual
1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,reading
2,4,4,4,4,4,1,4,1,4,4,4,1,4,4,Visual
1,2,3,2,2,2,2,3,1,2,1,2,2,1,2,Visual
3,3,3,3,3,3,2,3,2,3,3,3,2,2,3,Auditory
1,1,1,3,1,2,4,1,1,1,1,1,1,1,1,reading
4,4,1,4,4,4,4,1,4,4,4,4,4,4,1,Kinesthetic
1,4,2,4,2,2,3,2,1,2,1,2,2,1,2,Visual
3,3,3,4,3,4,4,3,3,1,3,3,3,3,3,Auditory
1,4,1,4,1,1,2,1,3,1,1,1,1,1,1,reading
4,4,3,4,4,3,4,4,4,2,4,4,4,4,4,Kinesthetic
1,2,2,2,2,2,2,1,4,2,2,2,2,1,2,Visual
3,3,3,3,1,4,3,3,3,3,3,3,3,3,1,Auditory
1,1,1,1,1,1,1,1,4,1,1,4,1,4,1,reading
4,4,4,4,4,4,3,2,4,4,4,4,4,4,4,Kinesthetic
1,2,2,2,2,2,4,1,1,2,2,2,2,1,2,Visual
3,3,3,3,3,3,2,3,3,3,3,1,3,3,3,Auditory
1,4,1,1,1,1,1,1,2,1,2,1,1,1,1,reading
4,4,4,4,4,4,4,4,4,1,4,4,4,4,3,Kinesthetic
2,2,2,2,2,2,2,2,1,3,2,2,2,1,2,Visual
3,3,3,3,4,3,3,3,3,2,3,3,3,3,3,Auditory
1,4,1,3,1,1,1,1,1,4,1,1,2,1,1,reading
4,3,4,4,4,4,4,4,4,4,2,4,1,4,4,Kinesthetic
1,3,2,2,4,1,2,2,1,2,1,2,2,1,2,Visual
3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,Auditory
1,3,1,1,1,1,4,1,1,1,3,1,1,1,1,reading
4,4,2,4,4,4,4,4,4,4,4,4,4,4,1,Kinesthetic
1,2,2,2,3,2,4,2,1,2,2,2,2,1,2,Visual
3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,Auditory
1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,reading
4,1,4,4,4,4,4,1,4,4,4,4,4,4,4,Kinesthetic
3,2,2,2,3,2,2,1,2,2,2,3,2,1,2,Visual
3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,Visual
1,1,2,1,1,1,1,1,1,1,1,2,1,3,1,Visual
4,4,2,4,1,4,4,4,4,4,4,4,4,4,4,Kinesthetic
3,2,2,2,2,2,3,2,3,2,2,2,2,1,2,Visual
3,3,1,2,3,3,3,3,3,3,4,4,3,3,3,Auditory
1,3,1,1,1,1,1,1,1,1,1,4,1,1,1,reading
4,4,1,4,4,4,4,4,4,4,4,4,1,4,4,Kinesthetic
1,1,1,1,2,2,2,2,1,2,2,2,2,1,2,Visual
2,3,3,3,3,2,3,3,1,4,3,3,3,3,3,Auditory
1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,Auditory
4,4,4,4,4,4,1,4,4,2,4,4,4,3,4,Kinesthetic
4,2,2,2,2,2,2,2,1,2,2,2,4,1,2,Visual
1,3,3,1,3,3,3,3,3,3,3,2,3,3,3,Auditory
4,1,1,1,1,1,3,1,1,1,2,2,1,1,1,reading
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Kinesthetic
1,2,2,2,2,2,2,1,1,2,2,2,2,1,2,Visual
3,3,3,3,3,4,3,4,3,3,3,4,3,3,3,Auditory
1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,reading
1,4,4,4,2,4,3,4,4,4,4,4,4,4,4,Kinesthetic
1,2,2,2,2,2,2,2,1,2,2,4,1,1,2,Visual
3,1,3,3,3,3,3,3,3,3,3,3,1,3,3,Auditory
1,1,1,1,1,1,3,1,1,4,1,2,1,1,3,reading
4,4,4,4,4,4,3,4,3,2,4,4,4,4,4,Kinesthetic
1,2,2,4,2,2,2,2,1,2,2,1,2,1,2,Visual
3,4,3,3,3,3,3,3,3,3,3,3,2,3,3,Auditory
1,1,1,1,1,1,1,4,1,4,4,1,1,1,1,reading
4,4,1,4,4,4,4,4,4,4,1,4,4,4,4,Kinesthetic
1,2,2,2,1,2,2,2,1,2,2,2,2,1,2,Visual
3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,Auditory
1,1,3,1,1,2,1,1,1,4,1,1,1,1,1,reading
4,4,4,4,3,1,4,4,4,4,4,2,4,1,4,Kinesthetic
1,2,2,2,2,2,2,2,1,3,2,2,2,2,2,Visual
3,3,2,3,4,3,3,3,3,1,3,4,3,3,3,Auditory
1,3,1,1,1,4,1,1,1,1,1,1,1,1,1,reading
3,4,4,4,4,4,3,4,4,4,4,4,4,2,4,Kinesthetic
1,4,2,2,2,4,2,3,1,2,2,2,2,1,2,Visual
3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,Auditory
1,2,3,1,1,4,1,4,1,1,1,1,1,1,1,Visual
3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,Auditory
1,2,1,2,2,2,2,2,1,1,2,2,2,1,2,Kinesthetic
3,3,3,2,3,3,3,3,1,3,1,4,3,3,3,Auditory
1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,reading
4,4,4,4,4,1,3,4,4,4,4,2,4,4,1,Kinesthetic
1,2,2,1,2,3,2,2,1,2,2,2,2,1,2,Visual
3,3,3,3,1,3,2,4,3,3,3,3,3,3,3,Auditory
1,1,1,1,1,1,3,4,1,1,1,1,1,1,1,reading
4,4,4,4,4,1,4,4,4,4,4,2,4,4,2,Kinesthetic
1,2,1,2,2,2,2,1,1,2,2,3,2,1,2,Kinesthetic
3,4,3,3,3,3,3,3,2,3,3,3,3,3,3,Auditory
1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,reading
4,4,4,4,4,4,4,4,2,4,2,3,4,4,1,Kinesthetic
1,2,4,2,2,4,2,2,1,2,2,2,2,1,2,Visual
3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,Auditory
3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,reading
4,4,3,4,4,4,4,3,4,3,4,4,3,4,1,Kinesthetic
1,2,2,3,2,2,2,2,1,2,2,2,2,1,2,Visual
3,3,3,4,3,3,3,3,3,4,3,1,2,3,3,Auditory
1,1,1,1,1,1,1,1,2,1,4,4,3,1,1,reading
4,4,4,4,4,4,4,4,2,4,4,4,4,2,1,Visual
1,2,2,4,2,2,2,2,1,2,2,2,2,1,2,Visual
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Auditory
1,1,4,1,1,1,3,1,1,1,1,4,1,1,1,reading
4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,Kinesthetic
1,2,2,2,2,2,2,2,1,2,4,2,2,1,2,Visual
3,3,3,3,3,2,3,2,3,3,3,3,4,3,3,Auditory
1,1,1,1,1,1,4,1,1,1,1,1,1,3,1,reading
4,4,4,4,4,2,4,4,4,4,4,4,4,1,3,Kinesthetic
4,2,2,2,2,2,2,1,4,2,2,2,2,1,3,Visual
3,3,3,3,4,3,3,3,3,3,3,4,3,3,4,Auditory
1,1,1,1,4,1,1,1,1,1,4,1,4,1,1,Auditory
4,4,3,3,4,4,4,4,4,4,4,2,4,4,4,Kinesthetic
1,3,2,2,3,2,2,2,1,2,4,2,2,1,2,Visual
3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,Auditory
1,1,2,1,1,1,1,4,1,1,1,1,1,1,2,reading
4,4,4,1,4,4,4,4,4,4,4,2,4,4,4,Kinesthetic
1,4,2,2,2,2,2,2,1,3,2,4,2,1,2,Visual
3,3,3,3,3,4,3,3,1,3,3,3,3,3,4,Kinesthetic
1,1,4,1,1,1,1,1,3,1,1,1,1,1,3,reading
1,4,2,4,4,2,4,4,4,4,4,4,4,4,4,Kinesthetic
1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,reading
3,3,3,3,3,3,3,3,1,1,1,3,3,3,3,Auditory
1,4,1,1,1,2,4,1,1,1,1,1,3,4,1,reading
4,4,2,4,1,4,4,4,4,4,4,4,4,3,4,Kinesthetic
1,1,2,2,2,2,2,2,1,2,2,2,4,1,2,Visual
3,3,3,3,3,1,3,3,3,1,3,3,3,3,3,Auditory
1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,reading
4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,Kinesthetic
2,2,2,2,2,2,2,4,1,2,2,2,2,4,2,Visual
3,3,3,3,3,3,4,3,1,3,2,3,1,3,3,Auditory
2,1,3,1,1,1,1,1,1,3,1,1,1,1,1,Auditory
4,4,2,4,4,1,2,4,4,2,4,4,4,4,4,Kinesthetic
1,1,2,2,1,2,1,2,1,2,2,2,2,1,2,Visual
3,3,3,3,2,3,2,3,3,4,3,3,3,3,3,Auditory
1,3,2,1,1,1,1,4,1,1,1,1,1,1,1,reading
1,1,3,4,4,1,4,4,4,4,4,4,4,4,4,Auditory
1,2,1,2,2,2,2,2,1,2,3,2,2,3,2,Visual
3,3,3,2,3,3,2,3,3,3,4,3,3,3,3,Auditory
1,1,1,1,1,1,2,1,1,2,2,1,2,4,1,reading
4,3,2,4,4,1,4,3,4,4,4,4,4,4,4,Kinesthetic
1,2,2,2,1,1,2,2,1,2,3,2,2,2,2,Visual
3,3,3,3,3,3,4,3,3,3,4,3,3,4,3,Auditory
2,4,1,1,4,1,1,1,1,1,1,1,1,1,1,reading
4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,Kinesthetic
1,2,2,2,2,2,2,2,1,3,2,4,2,1,2,Auditory
3,3,2,3,2,3,3,3,3,3,3,3,2,3,3,Auditory
4,1,1,1,1,1,3,3,1,2,1,1,1,1,1,reading
4,4,4,4,4,4,4,3,4,4,2,4,2,4,4,Kinesthetic
1,4,2,2,2,2,2,2,2,2,2,4,2,1,4,Visual
4,1,2,3,3,3,3,3,3,3,3,3,1,3,3,Auditory
1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,reading
4,4,4,3,4,4,4,4,4,4,4,4,3,4,2,Kinesthetic
1,2,2,4,2,2,4,2,1,2,2,2,2,2,2,Visual
3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,Auditory
1,1,1,1,1,1,1,1,4,1,1,1,4,1,1,reading
4,4,3,1,4,4,3,4,4,4,4,3,4,4,4,Kinesthetic
1,2,2,2,1,2,1,2,1,2,3,2,2,1,2,Visual
2,3,4,1,3,3,3,3,3,3,3,3,3,3,3,Auditory
1,1,1,1,1,1,2,1,1,1,3,1,1,4,1,Visual
3,4,4,4,4,4,4,4,4,4,1,4,1,4,4,Kinesthetic
1,2,2,2,2,1,2,2,1,2,4,2,2,1,2,reading
3,3,3,3,3,1,3,3,3,3,3,4,3,2,3,Auditory
3,1,1,1,1,1,1,1,2,1,1,3,1,1,1,reading
4,4,4,4,4,4,4,3,4,4,4,4,4,2,4,Kinesthetic
1,2,2,2,2,2,1,2,1,2,1,2,4,1,2,Visual
1,3,3,3,3,1,3,3,3,3,3,3,3,3,3,Auditory
1,1,1,1,4,1,1,1,4,1,2,1,1,1,1,reading
4,4,2,4,4,3,4,4,4,4,4,4,4,4,1,Kinesthetic
1,2,1,2,3,2,2,2,1,2,2,2,2,1,4,Visual
3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,Auditory
1,1,1,1,1,1,1,3,1,4,1,1,4,1,2,reading
4,2,4,3,4,4,4,4,3,4,4,4,4,2,4,Kinesthetic
1,2,4,2,2,3,2,4,1,2,2,2,2,1,3,Visual
3,3,3,3,3,3,3,3,4,1,3,3,3,3,3,Auditory
1,1,1,1,2,1,1,1,1,1,1,1,1,3,3,Visual
4,2,4,4,2,2,4,4,4,1,4,4,4,4,4,Kinesthetic
1,2,2,3,2,2,2,2,1,2,2,2,2,1,4,Visual
3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,Auditory
4,2,1,1,3,1,1,4,1,1,1,1,1,1,2,reading
4,4,4,4,2,2,4,4,4,4,4,2,4,3,4,Kinesthetic
1,2,2,2,2,3,2,1,1,2,2,1,2,1,2,Visual
2,3,3,3,3,3,3,3,3,3,4,3,1,3,3,Auditory
1,1,1,1,1,3,1,1,1,1,1,4,1,1,3,reading
4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,Visual
1,3,1,2,2,3,4,2,1,2,2,2,3,1,2,Visual
3,3,3,3,2,3,3,3,3,3,3,4,3,3,1,reading
1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,reading
4,4,4,3,4,4,4,4,4,3,4,4,1,4,4,Kinesthetic
1,2,2,2,2,2,3,2,1,2,2,2,2,1,2,Auditory
3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,Auditory
1,1,3,1,4,2,1,1,1,1,1,1,1,1,1,reading
4,4,4,2,4,4,4,4,4,3,4,4,4,4,4,Kinesthetic
1,2,2,1,2,2,2,2,1,1,2,1,2,1,2,Visual
3,2,3,3,3,3,2,3,3,3,3,3,3,3,2,Auditory
1,1,1,1,1,1,3,1,1,1,4,1,1,1,1,reading
4,1,4,3,4,4,4,4,4,1,2,4,4,4,4,Kinesthetic
1,2,2,2,4,2,2,2,1,2,2,2,4,1,2,Visual
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Auditory
1,1,1,1,1,1,4,1,1,1,1,1,1,1,3,reading
2,4,4,4,2,4,4,4,4,4,4,1,4,4,2,reading
4,2,2,2,2,2,2,2,1,2,4,2,2,1,2,Visual
3,4,3,3,3,3,3,3,3,1,2,3,3,3,2,Auditory
1,1,1,1,2,1,1,1,4,3,1,1,1,1,1,reading
4,4,4,4,4,2,4,4,4,4,4,2,4,4,4,Kinesthetic
4,2,2,2,2,4,3,2,1,2,2,2,2,1,2,Visual
3,3,3,3,1,3,2,3,3,3,3,2,3,3,3,Auditory
1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,reading
4,4,4,4,4,4,4,2,4,2,2,3,4,4,4,Kinesthetic
1,2,2,2,2,2,2,2,1,3,2,1,2,4,2,Visual
3,3,3,3,3,3,2,3,1,3,3,3,3,1,3,Auditory
1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,reading
4,4,4,4,3,4,4,4,4,1,4,4,4,2,4,Kinesthetic
1,4,1,2,2,2,2,2,1,3,2,2,2,1,2,Visual
3,3,3,3,1,3,3,3,3,3,3,1,3,1,3,Auditory
1,4,1,2,1,1,4,1,1,1,1,1,1,1,4,reading
4,4,4,4,4,4,4,4,3,4,4,4,4,4,2,Kinesthetic
1,2,2,2,2,2,2,2,4,2,2,4,2,1,4,Visual
3,3,3,3,3,4,3,1,3,3,3,3,3,3,2,Auditory
1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,reading
4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,Kinesthetic
1,2,2,2,2,2,2,4,1,2,2,2,3,1,2,Visual
3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,Auditory
1,1,1,3,1,1,1,1,1,1,1,4,1,4,1,reading
3,4,4,4,4,4,4,4,4,4,4,3,1,3,4,Kinesthetic
1,1,2,2,2,2,3,2,4,2,2,2,2,1,2,Auditory
1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Auditory
1,1,2,1,1,4,1,1,3,1,1,1,1,1,1,reading
4,4,4,1,4,4,4,4,4,3,4,4,4,1,4,Kinesthetic
1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,Visual
3,3,3,2,3,3,3,3,4,3,3,3,3,3,3,Auditory
1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,reading
3,3,4,4,4,2,4,4,4,4,4,4,4,4,2,Kinesthetic
1,2,2,2,2,2,2,2,1,2,2,2,4,1,4,Visual
3,3,3,3,3,3,4,2,3,1,3,3,3,3,3,Auditory
1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,reading
3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,Kinesthetic
1,2,2,2,3,2,4,2,1,2,2,2,2,1,2,Visual
3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,Auditory
1,1,1,1,4,1,1,1,4,4,1,1,1,1,1,reading
1,4,4,4,4,4,4,1,4,4,4,4,1,4,4,Kinesthetic
1,2,2,2,2,2,2,2,1,2,1,2,2,1,2,Visual
3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,Auditory
1,1,1,1,1,1,1,2,2,1,1,1,1,4,1,Visual
3,4,4,4,4,4,2,4,4,1,4,4,4,4,4,Auditory
1,3,2,2,2,2,2,2,1,2,2,2,2,1,2,Visual
1,3,3,3,3,3,3,3,1,3,3,2,3,3,3,Auditory
1,3,1,1,1,1,1,1,4,1,4,1,1,1,1,reading
4,4,4,4,1,4,4,3,4,4,4,4,4,4,1,Auditory
1,2,2,2,1,2,2,2,1,2,2,2,2,1,2,Visual
3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,Auditory
1,4,1,1,1,1,4,1,4,1,2,1,1,1,1,reading
4,4,4,3,4,4,2,4,4,4,4,4,3,4,4,Kinesthetic
1,2,2,2,3,2,2,2,3,3,2,2,2,1,3,Visual
3,3,4,3,3,1,3,4,3,3,3,3,3,3,3,Auditory
1,1,1,1,1,4,1,1,1,1,1,1,1,1,4,reading
4,4,1,4,2,4,4,4,4,4,4,1,4,4,4,Kinesthetic
1,2,2,3,2,1,2,2,2,2,2,2,1,1,2,Visual
3,2,3,3,3,3,3,3,3,3,4,3,3,3,3,Auditory
2,1,1,3,1,4,1,1,1,1,1,1,1,1,1,Auditory
4,4,4,4,4,4,4,4,4,4,3,4,4,1,4,Auditory
